time,A,B,C
4/26/2015 5:45,807.3439941,1806.117554,440.4478455
4/26/2015 6:00,807.6101685,1806.117554,440.4478455
4/26/2015 6:15,827.3477783,1865.751587,440.4478455
4/26/2015 6:30,837.4438477,1985.168701,481.7297668
4/26/2015 6:45,843.4628906,2010.397705,529.3394165
4/26/2015 7:00,905.1848755,2195.654053,587.6829834
4/26/2015 7:15,913.7576904,2270.753174,618.3988647
4/26/2015 7:30,937.3831177,2302.533203,717.5975342
4/26/2015 7:45,975.3146362,2415.577881,794.2961426
4/26/2015 8:00,1005.57373,2553.070068,850.1715698
4/26/2015 8:15,1005.57373,2593.484863,942.0390015
4/26/2015 8:30,1005.57373,2733.568604,1151.459106
4/26/2015 8:45,1013.706055,2850.300293,1230.183472
4/26/2015 9:00,1005.57373,2932.96582,1381.307373
4/26/2015 9:15,1013.706055,3123.175781,1407.689331
4/26/2015 9:30,1027.011597,3280.755371,1422.637817
4/26/2015 9:45,1026.937378,3341.769531,1422.06665
4/26/2015 10:00,1028.335693,3400.81958,1435.266724
4/26/2015 10:15,1028.335693,3566.940186,1437.9729
4/26/2015 10:30,1003.561462,3663.212158,1426.734985
4/26/2015 10:45,1003.561462,3784.909424,1426.734985
4/26/2015 11:00,1024.14563,3788.938721,1427.775513
4/26/2015 11:15,1024.14563,3788.938721,1423.06311
4/26/2015 11:30,1049.179688,3778.967529,1348.608765
4/26/2015 11:45,1049.179688,3815.635742,1339.671265
4/26/2015 12:00,1056.763794,3795.723877,1310.136353
4/26/2015 12:15,1054.072144,3825.801514,1310.136353
4/26/2015 12:30,1026.344116,3876.769043,1310.136353
4/26/2015 12:45,1018.256104,3920.265137,1310.136353
4/26/2015 13:00,1018.256104,3964.04541,1272.409668
4/26/2015 13:15,1018.256104,3970.570801,1238.423828
4/26/2015 13:30,1033.933594,3931.334961,1214.42334
4/26/2015 13:45,1043.981567,3931.334961,1080.036743
4/26/2015 14:00,1060.652954,3856.442139,1080.036743
4/26/2015 14:15,1060.652954,3781.401855,1053.057129
4/26/2015 14:30,1093.131714,3756.371094,1051.903442
4/26/2015 14:45,1070.790894,3756.371094,1078.691406
4/26/2015 15:00,1070.790894,3756.371094,1093.352417
4/26/2015 15:15,1094.388184,3835.913574,1043.406494
4/26/2015 15:30,1105.355225,3875.554688,1038.025391
4/26/2015 15:45,1099.59668,3878.949463,1029.458984
4/26/2015 16:00,1099.59668,3886.212646,986.8872681
4/26/2015 16:15,1074.902588,3846.134033,979.376709
4/26/2015 16:30,1074.902588,3836.519531,945.6622925
4/26/2015 16:45,1065.59021,3790.827881,979.376709
4/26/2015 17:00,1069.598267,3690.407959,945.6622925
4/26/2015 17:15,1088.635742,3654.179199,927.1724854
4/26/2015 17:30,1115.162476,3617.417725,886.3963013
4/26/2015 17:45,1115.162476,3617.417725,927.1724854
4/26/2015 18:00,1133.449707,3617.417725,927.1724854
4/26/2015 18:15,1115.162476,3595.659668,927.1724854
4/26/2015 18:30,1114.29541,3592.85498,881.020874
4/26/2015 18:45,1102.546265,3608.021484,889.895813
4/26/2015 19:00,1112.737427,3667.232666,889.895813
4/26/2015 19:15,1103.910645,3667.232666,889.895813
4/26/2015 19:30,1115.927979,3730.866455,889.895813
4/26/2015 19:45,1116.182983,3769.710693,897.4521484
4/26/2015 20:00,1112.516479,3791.007568,924.9455566
